KREIS;ID;2017-TOTAL;2017-FACH;2017-AKADEM;2018-TOTAL;2018-FACH;2018-AKADEM;2019-TOTAL;2019-FACH;2019-AKADEM;2020-TOTAL;2020-FACH;2020-AKADEM
Flensburg, Stadt;1001;30.733;17.858;4.317;31.610;18.065;4.687;32.323;18.171;4.965;32.097;17.857;5.109
Kiel, Landeshauptstadt;1002;88.428;48.128;18.088;90.376;48.637;19.270;91.908;49.052;20.292;91.929;48.528;21.223
Lübeck, Hansestadt;1003;78.029;48.103;11.099;79.057;48.545;11.763;80.035;48.860;12.528;80.325;48.827;13.139
Neumünster, Stadt;1004;28.506;18.839;1.981;29.261;19.317;2.104;30.015;19.739;2.291;30.005;19.646;2.325
Dithmarschen;1051;46.641;32.276;3.158;47.404;32.914;3.342;48.664;33.651;3.588;48.885;33.905;3.755
Herzogtum Lauenburg;1053;72.570;48.728;7.719;74.216;49.857;8.218;75.481;50.504;8.673;75.655;50.444;9.086
Nordfriesland;1054;60.794;41.405;4.168;61.871;42.258;4.479;63.047;43.192;4.805;63.093;43.495;5.017
Ostholstein;1055;71.107;49.761;5.684;72.643;50.785;6.165;73.403;51.301;6.559;73.566;51.573;7.026
Pinneberg;1056;123.583;78.169;15.689;126.377;79.516;16.796;128.499;80.560;17.797;128.855;80.315;18.604
Plön;1057;44.513;30.665;4.893;45.394;31.359;5.225;46.211;31.899;5.550;46.377;31.914;5.922
Rendsburg-Eckernförde;1058;96.527;65.303;11.303;98.289;66.504;11.996;100.055;67.289;12.779;100.615;67.378;13.413
Schleswig-Flensburg;1059;67.460;46.762;5.603;69.117;48.078;6.040;70.539;49.215;6.406;71.128;49.752;6.841
Segeberg;1060;108.632;72.591;11.518;110.831;74.103;12.230;113.194;75.377;13.067;113.567;75.595;13.681
Steinburg;1061;48.948;33.803;4.044;49.950;34.358;4.325;51.163;35.203;4.563;51.520;35.444;4.745
Stormarn;1062;92.306;58.827;13.291;94.145;59.801;14.091;95.504;60.521;14.984;96.252;60.629;15.735
Hamburg, Freie und Hansestadt;2000;731.093;351.249;180.732;749.051;356.346;193.495;768.571;360.933;206.387;769.095;357.393;215.106
