krs1214;name;percent_academics;t_typ
9562000;Erlangen;31,2;5
16053000;Jena, Stadt;30,2;5
9162000;München, Landeshauptstadt;28,5;5
9184000;München;27,5;5
6411000;Darmstadt, Wissenschaftsstadt;27,3;5
8111000;Stuttgart;26,9;5
14612000;Dresden, Stadt;25,4;5
5314000;Bonn, Stadt;25,3;5
8221000;Heidelberg;25,1;5
12054000;Potsdam, Stadt;24,1;5
6412000;Frankfurt am Main, Stadt;24;5
6436000;Main-Taunus-Kreis;23,7;5
16055000;Weimar, Stadt;22,4;4
8311000;Freiburg im Breisgau;22,4;5
6434000;Hochtaunuskreis;22;5
14713000;Leipzig, Stadt;21,4;5
5111000;Düsseldorf, Stadt;21,3;5
11000000;Berlin, Stadt;21,2;5
9188000;Starnberg;21;5
3103000;Wolfsburg, Stadt;21;5
5315000;Köln, Stadt;20,2;5
15002000;Halle (Saale), Stadt;20,1;5
8212000;Karlsruhe;19,9;5
6414000;Wiesbaden, Landeshauptstadt;19,9;5
8416000;Tübingen;19,7;3
7315000;Mainz, kreisfreie Stadt;19,7;5
8421000;Ulm;19,6;5
2000000;Hamburg, Freie und Hansestadt;19,6;5
5515000;Münster, Stadt;19,4;5
6413000;Offenbach am Main, Stadt;18,7;5
14511000;Chemnitz, Stadt;18,5;5
8222000;Mannheim;18,5;5
13003000;Rostock;18,3;5
9161000;Ingolstadt;18,2;5
8115000;Böblingen;18,2;5
8435000;Bodenseekreis;18,1;3
5334000;Städteregion Aachen;17,9;5
3101000;Braunschweig, Stadt;17,9;5
8226000;Rhein-Neckar-Kreis;17,7;5
9362000;Regensburg;17,5;5
5316000;Leverkusen, Stadt;17,3;5
16051000;Erfurt, Stadt;17,2;5
15003000;Magdeburg, Landeshauptstadt;17,1;5
3159000;Göttingen;16,9;3
13004000;Schwerin;16,6;4
7314000;Ludwigshafen am Rhein, kreisfreie Stadt;16,6;5
9564000;Nürnberg;16,5;5
5113000;Essen, Stadt;16,2;5
12052000;Cottbus, Stadt;16,1;4
8118000;Ludwigsburg;16,1;5
6611000;Kassel, documenta-Stadt;16,1;5
4011000;Bremen, Stadt;16;5
6433000;Groß-Gerau;15,8;5
9663000;Würzburg;15,6;5
9761000;Augsburg;15,5;5
12053000;Frankfurt (Oder), Stadt;15,4;4
3403000;Oldenburg (Oldenburg), Stadt;15,4;5
6438000;Offenbach;15,3;5
1002000;Kiel, Landeshauptstadt;15,2;5
3241000;Region Hannover;15;5
9572000;Erlangen-Höchstadt;14,9;3
8116000;Esslingen;14,8;5
5913000;Dortmund, Stadt;14,5;5
5117000;Mülheim an der Ruhr, Stadt;14,5;5
16070000;Ilm-Kreis;14,4;1
7339000;Mainz-Bingen;14;3
5711000;Bielefeld, Stadt;14;5
15001000;Dessau-Roßlau, Stadt;13,8;4
9179000;Fürstenfeldbruck;13,8;5
5911000;Bochum, Stadt;13,8;5
3404000;Osnabrück, Stadt;13,8;5
8211000;Baden-Baden;13,7;3
5158000;Mettmann;13,7;5
10041000;Regionalverband Saarbrücken;13,5;5
6531000;Gießen;13,5;3
7311000;Frankenthal (Pfalz), kreisfreie Stadt;13,4;5
6439000;Rheingau-Taunus-Kreis;13,4;3
9163000;Rosenheim;13,3;3
8415000;Reutlingen;13,3;3
16054000;Suhl, Stadt;13,2;1
12065000;Oberhavel;13,2;4
8335000;Konstanz;13,2;3
9178000;Freising;13,1;3
9182000;Miesbach;13;3
9176000;Eichstätt;13;2
7312000;Kaiserslautern, kreisfreie Stadt;13;4
7211000;Trier, kreisfreie Stadt;13;5
5378000;Rheinisch-Bergischer Kreis;13;5
8125000;Heilbronn;12,8;3
14627000;Meißen;12,7;4
9776000;Lindau (Bodensee);12,7;3
8215000;Karlsruhe;12,7;3
14628000;Sächsische Schweiz-Osterzgebirge;12,6;4
9463000;Coburg;12,6;2
9462000;Bayreuth;12,6;2
9461000;Bamberg;12,6;3
8135000;Heidenheim;12,6;2
14522000;Mittelsachsen;12,5;4
9563000;Fürth;12,5;5
5774000;Paderborn;12,5;3
3151000;Gifhorn;12,5;1
14626000;Görlitz;12,4;4
6534000;Marburg-Biedenkopf;12,4;2
5374000;Oberbergischer Kreis;12,4;4
13075000;Vorpommern-Greifswald;12,3;1
5124000;Wuppertal, Stadt;12,3;5
12066000;Oberspreewald-Lausitz;12,2;4
5114000;Krefeld, Stadt;12,2;5
14625000;Bautzen;12,1;4
3355000;Lüneburg;12;4
8121000;Heilbronn;11,9;5
12069000;Potsdam-Mittelmark;11,8;4
9175000;Ebersberg;11,8;3
7111000;Koblenz, kreisfreie Stadt;11,8;5
5162000;Rhein-Kreis Neuss;11,8;5
9262000;Passau;11,7;2
8231000;Pforzheim;11,7;5
9186000;Pfaffenhofen a.d.Ilm;11,6;2
14524000;Zwickau;11,5;4
8119000;Rems-Murr-Kreis;11,5;5
5112000;Duisburg, Stadt;11,5;5
16052000;Gera, Stadt;11,4;4
12072000;Teltow-Fläming;11,4;4
8436000;Ravensburg;11,4;2
8136000;Ostalbkreis;11,4;2
6440000;Wetteraukreis;11,4;3
5120000;Remscheid, Stadt;11,4;5
5382000;Rhein-Sieg-Kreis;11,3;5
5358000;Düren;11,3;4
8426000;Biberach;11,2;2
6432000;Darmstadt-Dieburg;11,2;3
3254000;Hildesheim;11,2;4
16073000;Saalfeld-Rudolstadt;11,1;1
14523000;Vogtlandkreis;11,1;4
12051000;Brandenburg an der Havel, Stadt;11,1;4
7318000;Speyer, kreisfreie Stadt;11,1;5
13074000;Nordwestmecklenburg;11;4
13071000;Mecklenburgische Seenplatte;11;1
7313000;Landau in der Pfalz, kreisfreie Stadt;11;3
9561000;Ansbach;10,9;2
6431000;Bergstraße;10,9;3
9763000;Kempten (Allgäu);10,8;3
9661000;Aschaffenburg;10,8;3
9190000;Weilheim-Schongau;10,8;3
14729000;Leipzig;10,7;4
9174000;Dachau;10,7;3
1001000;Flensburg, Stadt;10,7;1
15082000;Anhalt-Bitterfeld;10,6;4
3158000;Wolfenbüttel;10,6;4
15090000;Stendal;10,5;1
14730000;Nordsachsen;10,5;4
13072000;Landkreis Rostock;10,5;1
12061000;Dahme-Spreewald;10,5;4
10045000;Saarpfalz-Kreis;10,5;3
9361000;Amberg;10,5;1
5116000;Mönchengladbach, Stadt;10,5;5
8336000;Lörrach;10,4;3
16074000;Saale-Holzland-Kreis;10,3;1
12060000;Barnim;10,3;4
9181000;Landsberg am Lech;10,3;3
5914000;Hagen, Stadt der FernUniversität;10,3;5
