Statistische Kennziffer und Zulassungsbezirk;Benzin;Diesel;"Gas
(einschl.
bivalent)";"Hybrid 
insgesamt";"darunter
Plug-in-Hybrid";Elektro (BEV);sonstige
;;;;;;;
08111  STUTTGART,STADT;189.027;106.608;1.894;2.718;1.168;1.193;68
08115  BOEBLINGEN;159.719;84.350;1.429;1.837;749;869;77
08116  ESSLINGEN;213.997;106.569;1.896;1.830;346;534;75
08117  GOEPPINGEN;104.146;54.545;1.285;848;130;196;42
08118  LUDWIGSBURG;219.028;101.142;2.184;1.797;421;625;77
08119  REMS-MURR-KREIS;173.677;81.359;1.869;1.130;329;383;55
08121  HEILBRONN,STADT;42.434;22.257;541;333;64;77;8
08125  HEILBRONN;144.149;87.519;1.627;1.299;312;322;41
08126  HOHENLOHEKREIS;43.212;35.707;670;270;70;117;9
08127  SCHWAEBISCH-HALL;73.779;48.766;1.235;451;112;187;28
08128  MAIN-TAUBER-KREIS;52.591;32.697;788;604;58;76;16
08135  HEIDENHEIM;51.965;27.905;740;264;50;78;12
08136  OSTALBKREIS;123.593;72.979;1.375;974;199;204;22
;1.591.317;862.403;17.533;14.355;4.008;4.861;530
08211  BADEN-BADEN,STADT;21.421;12.169;156;216;39;56;7
08212  KARLSRUHE,STADT;88.677;48.088;1.283;831;171;274;33
08215  KARLSRUHE;181.051;87.082;2.115;1.333;200;378;56
08216  RASTATT;97.794;47.776;993;572;96;172;25
08221  HEIDELBERG,STADT;38.155;20.960;408;352;57;94;17
08222  MANNHEIM,STADT;97.845;49.677;1.051;927;184;178;22
08225  NECKAR-ODENWALD-KREIS;56.990;33.002;704;341;52;62;16
08226  RHEIN-NECKAR-KREIS;225.661;113.421;2.355;2.370;1.104;460;72
08231  PFORZHEIM,STADT;39.897;19.554;447;311;63;96;8
08235  CALW;62.594;36.603;860;323;55;149;24
08236  ENZKREIS;85.974;40.221;1.031;517;109;197;23
08237  FREUDENSTADT;44.277;28.860;483;390;114;92;12
;1.040.336;537.413;11.886;8.483;2.244;2.208;315
08311  FREIBURG I.BREISG.STADT;55.772;33.938;781;606;112;207;21
08315  BREISGAU-HOCHSCHWARZWALD;98.773;53.246;1.021;880;135;305;42
08316  EMMENDINGEN;64.389;31.986;722;466;63;154;12
08317  ORTENAUKREIS;170.923;89.728;1.549;866;190;297;52
08325  ROTTWEIL;55.828;33.782;539;366;90;84;16
08326  SCHWARZWALD-BAAR-KREIS;81.871;43.924;771;685;136;139;36
08327  TUTTLINGEN;52.184;32.016;480;374;101;94;17
08335  KONSTANZ;107.996;45.849;1.305;986;171;228;36
08336  LOERRACH;91.921;40.514;514;1.030;114;285;33
08337  WALDSHUT;69.965;33.403;419;577;102;162;32
;849.622;438.386;8.101;6.836;1.214;1.955;297
08415  REUTLINGEN;111.202;61.399;1.443;754;226;241;36
08416  TUEBINGEN;75.748;44.117;1.276;588;140;156;29
08417  ZOLLERNALBKREIS;78.985;43.633;914;541;119;120;19
08421  ULM,STADT;38.855;25.612;494;259;78;108;14
08425  ALB-DONAU-KREIS;76.187;45.452;917;282;60;136;22
08426  BIBERACH;75.989;48.056;826;477;88;175;18
08435  BODENSEEKREIS;86.438;45.375;901;767;131;234;30
08436  RAVENSBURG;105.948;65.085;1.174;582;126;285;42
08437  SIGMARINGEN;49.929;31.636;660;539;59;89;12
;699.281;410.365;8.605;4.789;1.027;1.544;222
;4.180.556;2.248.567;46.125;34.463;8.493;10.568;1.364
09161  INGOLSTADT,STADT;57.050;35.355;561;2.372;688;210;14
09162  MUENCHEN,STADT;424.574;288.961;3.748;7.493;2.645;2.287;116
09163  ROSENHEIM,STADT;21.065;12.649;240;156;39;50;7
09171  ALTOETTING;43.543;23.787;394;424;58;103;10
09172  BERCHTESGADENER LAND;40.551;21.942;312;275;55;70;17
09173  BAD TOELZ-WOLFRATSHAUSEN;46.458;30.149;533;388;94;127;14
09174  DACHAU;56.536;31.069;670;472;87;128;18
09175  EBERSBERG;50.027;30.366;537;453;83;183;14
09176  EICHSTAETT;49.010;31.135;569;221;63;95;11
09177  ERDING;51.560;32.539;572;711;67;107;17
09178  FREISING;61.576;41.862;820;500;110;257;19
09179  FUERSTENFELDBRUCK;78.141;40.138;820;680;125;159;18
09180  GARMISCH-PARTENKIRCHEN;32.381;17.748;345;259;47;57;13
09181  LANDSBERG AM LECH;46.533;30.122;710;469;79;191;15
09182  MIESBACH;38.305;24.630;347;308;95;123;17
09183  MUEHLDORF A.INN;44.436;25.585;450;470;59;88;7
09184  MUENCHEN;141.553;95.580;1.096;2.109;696;582;95
09185  NEUBURG-SCHROBENHAUSEN;38.140;23.769;484;275;56;49;7
09186  PFAFFENHOFEN A.D.ILM;47.195;31.996;722;316;82;116;12
09187  ROSENHEIM;102.044;60.677;1.094;684;150;319;25
09188  STARNBERG;52.276;31.801;474;506;167;271;12
09189  TRAUNSTEIN;70.099;40.650;750;463;90;219;13
09190  WEILHEIM-SCHONGAU;52.878;30.753;680;402;97;144;7
;1.645.931;1.033.263;16.928;20.406;5.732;5.935;498
09261  LANDSHUT,STADT;22.340;13.340;246;235;66;42;5
09262  PASSAU,STADT;17.207;9.906;116;178;26;30;11
09263  STRAUBING,STADT;17.128;9.490;170;87;26;23;5
09271  DEGGENDORF;45.433;28.954;681;198;56;67;9
09272  FREYUNG-GRAFENAU;30.313;20.101;266;117;38;30;5
09273  KELHEIM;44.830;31.110;775;222;62;88;13
09274  LANDSHUT;59.983;41.789;836;607;100;147;13
09275  PASSAU;78.814;42.683;621;379;83;116;40
09276  REGEN;29.061;18.539;284;160;41;125;6
09277  ROTTAL-INN;49.023;29.838;532;303;55;110;19
09278  STRAUBING-BOGEN;39.978;25.223;516;242;34;67;7
09279  DINGOLFING-LANDAU;37.225;27.217;532;201;81;70;3
;471.335;298.190;5.575;2.929;668;915;136
09361  AMBERG,STADT;15.912;8.242;142;184;32;39;8
09362  REGENSBURG,STADT;50.032;33.592;655;542;141;200;22
09363  WEIDEN I.D.OPF.,STADT;16.440;8.885;163;91;23;24;9
09371  AMBERG-SULZBACH;42.673;24.439;474;235;47;96;12
09372  CHAM;53.054;31.379;826;158;36;75;16
09373  NEUMARKT I.D.OPF.;51.734;32.456;597;336;103;124;7
09374  NEUSTADT A.D.WALDNAAB;40.106;22.376;438;175;45;59;10
09375  REGENSBURG;74.876;44.996;1.260;533;100;189;34
09376  SCHWANDORF;57.845;37.055;1.020;337;58;74;16
09377  TIRSCHENREUTH;31.400;15.904;254;90;18;37;8
;434.072;259.324;5.829;2.681;603;917;142
09461  BAMBERG,STADT;24.781;14.384;361;203;52;79;12
09462  BAYREUTH,STADT;24.842;13.434;234;196;42;38;3
09463  COBURG,STADT;15.931;8.635;171;110;26;47;8
09464  HOF,STADT;17.200;7.042;155;106;27;33;3
09471  BAMBERG;62.385;34.714;744;247;54;122;19
09472  BAYREUTH;44.853;23.907;469;226;45;67;11
09473  COBURG;39.153;17.007;516;170;37;74;6
09474  FORCHHEIM;48.757;25.898;495;299;71;120;17
09475  HOF;41.876;19.484;489;170;42;55;18
09476  KRONACH;29.430;14.569;264;111;24;34;17
09477  KULMBACH;31.449;16.221;378;221;33;42;9
09478  LICHTENFELS;28.953;14.085;293;66;24;46;13
09479  WUNSIEDEL I.FICHTELGEB.;31.332;14.084;249;190;41;31;21
;440.942;223.464;4.818;2.315;518;788;157
09561  ANSBACH,STADT;15.314;8.940;231;175;34;53;3
09562  ERLANGEN,STADT;34.513;18.977;360;348;89;95;9
09563  FUERTH,STADT;41.108;19.456;409;390;70;102;11
09564  NUERNBERG,STADT;153.851;84.820;1.418;1.490;262;399;39
09565  SCHWABACH,STADT;17.041;7.943;113;217;20;43;6
09571  ANSBACH;73.945;44.427;1.073;367;83;135;25
09572  ERLANGEN-HOECHSTADT;55.653;31.758;602;435;152;169;25
09573  FUERTH;51.101;22.734;431;329;59;96;11
09574  NUERNBERGER LAND;69.673;36.121;644;551;124;169;14
09575  NEUSTADT/AISCH-WINDSHEIM;38.520;25.018;541;313;64;131;15
09576  ROTH;52.063;30.356;483;431;60;106;15
09577  WEISSENBURG-GUNZENHAUSEN;37.338;22.070;483;198;41;105;11
;640.120;352.620;6.788;5.244;1.058;1.603;184
09661  ASCHAFFENBURG,STADT;28.044;15.495;367;189;29;83;8
09662  SCHWEINFURT,STADT;17.040;10.118;301;225;50;56;5
09663  WUERZBURG,STADT;39.528;22.344;777;406;107;123;10
09671  ASCHAFFENBURG;73.762;38.794;929;454;87;143;20
09672  BAD KISSINGEN;41.410;25.730;729;180;39;119;13
09673  RHOEN-GRABFELD;30.276;21.379;611;201;44;216;14
09674  HASSBERGE;32.744;22.853;700;116;33;63;13
09675  KITZINGEN;36.933;21.305;610;323;40;95;13
09676  MILTENBERG;51.513;29.458;725;506;67;65;11
09677  MAIN-SPESSART;51.219;30.548;933;382;80;92;14
09678  SCHWEINFURT;48.847;26.040;909;314;71;130;31
09679  WUERZBURG;66.081;35.285;1.257;476;90;164;21
;517.397;299.349;8.848;3.772;737;1.349;173
09761  AUGSBURG,STADT;88.430;43.526;1.477;1.095;156;145;25
09762  KAUFBEUREN,STADT;15.698;7.860;203;135;21;28;2
09763  KEMPTEN(ALLGAEU),STADT;23.479;13.757;276;222;51;68;5
09764  MEMMINGEN,STADT;15.665;9.363;179;99;29;31;3
09771  AICHACH-FRIEDBERG;53.495;28.736;722;473;76;104;11
09772  AUGSBURG;104.902;51.398;1.253;1.101;117;202;32
09773  DILLINGEN A.D.DONAU;39.582;21.776;520;321;40;44;16
09774  GUENZBURG;49.648;30.014;532;273;49;89;14
09775  NEU-ULM;69.656;35.115;738;265;61;108;19
09776  LINDAU (BODENSEE);32.710;17.371;335;176;35;93;11
09777  OSTALLGAEU;54.951;31.494;770;403;75;151;17
09778  UNTERALLGAEU;58.676;33.986;679;372;65;121;21
09779  DONAU-RIES;54.225;32.801;624;458;61;103;9
09780  OBERALLGAEU;61.275;35.012;558;315;99;159;18
;722.392;392.209;8.866;5.708;935;1.446;203
;4.872.189;2.858.419;57.652;43.055;10.251;12.953;1.493
11000  BERLIN;863.140;307.976;15.984;13.337;1.445;2.007;385
;863.140;307.976;15.984;13.337;1.445;2.007;385
12051  BRANDENBURG/HAVEL,STADT;25.104;8.453;253;229;20;22;16
12052  COTTBUS, STADT;35.984;11.697;343;292;20;27;26
12053  FRANKFURT/ODER,STADT;21.392;6.201;342;165;15;19;18
12054  POTSDAM,STADT;50.889;21.263;840;489;87;96;31
12060  BARNIM;72.978;26.838;1.405;623;55;83;41
12061  DAHME-SPREEWALD;68.305;29.059;1.490;854;60;97;35
12062  ELBE-ELSTER;44.224;17.848;656;294;19;31;34
12063  HAVELLAND;63.773;25.181;1.126;610;58;73;32
12064  MAERKISCH-ODERLAND;81.250;29.884;1.555;717;57;57;47
12065  OBERHAVEL;84.506;31.611;1.703;773;72;74;32
12066  OBERSPREEWALD-LAUSITZ;46.030;18.212;604;341;29;21;35
12067  ODER-SPREE;74.707;28.607;1.238;479;46;47;33
12068  OSTPRIGNITZ-RUPPIN;38.330;18.014;718;168;20;38;17
12069  POTSDAM-MITTELMARK;82.867;39.384;1.445;616;88;143;36
12070  PRIGNITZ;30.711;13.702;431;140;7;14;17
12071  SPREE-NEISSE;51.540;18.025;562;259;24;34;28
12072  TELTOW-FLAEMING;67.897;29.779;1.396;483;83;62;29
12073  UCKERMARK;49.209;17.445;651;345;22;29;23
;989.696;391.203;16.758;7.877;782;967;530
04011  BREMEN, STADT;159.722;76.427;2.914;1.422;252;264;41
04012  BREMERHAVEN,STADT;33.760;14.581;617;383;36;43;14
;193.482;91.008;3.531;1.805;288;307;55
02000  HAMBURG;504.715;265.809;6.149;5.053;1.116;1.387;142
;504.715;265.809;6.149;5.053;1.116;1.387;142
06411  DARMSTADT,STADT;45.820;24.954;690;551;107;111;7
06412  FRANKFURT AM MAIN,STADT;186.420;141.909;2.476;2.364;552;527;72
06413  OFFENBACH AM MAIN,STADT;34.923;19.368;513;412;58;76;19
06414  WIESBADEN,STADT;92.655;49.752;1.186;883;223;234;44
06431  BERGSTRASSE;113.408;52.700;1.465;891;153;211;35
06432  DARMSTADT-DIEBURG;123.648;56.454;1.835;1.372;177;200;24
06433  GROSS-GERAU;120.025;49.916;1.573;826;155;227;23
06434  HOCHTAUNUSKREIS;104.517;58.516;1.052;1.156;216;290;59
06435  MAIN-KINZIG-KREIS;165.612;81.040;2.112;1.695;133;223;52
06436  MAIN-TAUNUS-KREIS;112.882;69.397;976;1.123;210;170;31
06437  ODENWALDKREIS;40.043;19.581;699;415;43;60;5
06438  OFFENBACH;140.117;66.359;1.869;1.392;198;180;39
06439  RHEINGAU-TAUNUS-KREIS;78.953;37.912;1.039;647;151;169;32
06440  WETTERAUKREIS;122.323;60.241;1.579;1.050;132;180;30
;1.481.346;788.099;19.064;14.777;2.508;2.858;472
06531  GIESSEN;95.912;50.220;1.726;892;143;156;39
06532  LAHN-DILL-KREIS;104.274;52.833;1.473;520;102;131;43
06533  LIMBURG-WEILBURG;69.115;37.810;1.159;494;70;89;28
06534  MARBURG-BIEDENKOPF;92.884;44.095;1.357;546;72;158;19
06535  VOGELSBERGKREIS;45.349;23.716;687;289;30;52;27
;407.534;208.674;6.402;2.741;417;586;156
06611  KASSEL,STADT;57.769;28.825;1.066;401;93;113;12
06631  FULDA;88.477;47.436;1.250;507;76;103;38
06632  HERSFELD-ROTENBURG;50.176;25.307;896;167;34;72;16
06633  KASSEL, LAND;99.443;43.135;1.727;465;94;156;29
06634  SCHWALM-EDER-KREIS;76.041;37.169;1.639;368;87;120;32
06635  WALDECK-FRANKENBERG;65.887;34.012;1.393;301;54;94;21
06636  WERRA-MEISSNER-KREIS;40.415;20.116;784;155;35;37;15
;478.208;236.000;8.755;2.364;473;695;163
;2.367.088;1.232.773;34.221;19.882;3.398;4.139;791
13003  ROSTOCK, STADT;59.093;23.191;792;442;31;54;37
13004  SCHWERIN, STADT;29.741;12.798;436;232;29;38;28
13071  MECKLENBURGISCHE SEENPLA.;95.412;45.275;1.123;611;47;55;41
13072  ROSTOCK;78.719;42.137;1.047;496;70;62;53
13073  VORPOMMERN-RUEGEN;80.754;37.598;944;546;52;70;34
13074  NORDWESTMECKLENBURG;57.961;28.645;1.015;266;34;39;20
13075  VORPOMMERN-GREIFSWALD;85.978;35.658;970;586;48;53;42
13076  LUDWIGSLUST-PARCHIM;80.600;43.132;1.537;349;35;47;55
;568.258;268.434;7.864;3.528;346;418;310
03101  BRAUNSCHWEIG,STADT;84.276;49.479;1.495;772;334;254;24
03102  SALZGITTER,STADT;36.164;16.678;909;161;48;39;6
03103  WOLFSBURG,STADT;89.708;47.329;789;1.501;1.406;639;17
03151  GIFHORN;64.159;37.450;1.161;399;81;70;7
03153  GOSLAR;52.432;24.830;917;276;55;42;15
03154  HELMSTEDT;34.923;18.337;724;164;59;48;4
03155  NORTHEIM;57.890;26.361;942;163;39;72;21
03157  PEINE;55.139;24.402;1.335;249;83;65;14
03158  WOLFENBUETTEL;49.280;22.509;1.021;230;51;51;18
03159  GÖTTINGEN;120.997;56.273;2.004;674;104;146;31
;644.968;323.648;11.297;4.589;2.260;1.426;157
03241  HANNOVER;383.723;177.695;7.279;2.877;552;684;134
03251  DIEPHOLZ;88.576;44.860;1.744;537;70;151;32
03252  HAMELN-PYRMONT;62.368;25.887;1.086;360;47;90;17
03254  HILDESHEIM;108.369;46.565;1.695;588;87;133;25
03255  HOLZMINDEN;30.270;12.868;615;94;22;22;11
03256  NIENBURG(WESER);48.157;25.171;1.147;417;58;135;15
03257  SCHAUMBURG;67.671;28.603;1.388;400;42;77;17
;789.134;361.649;14.954;5.273;878;1.292;251
03351  CELLE;68.576;36.173;1.294;285;61;79;26
03352  CUXHAVEN;77.342;41.840;2.025;501;59;71;23
03353  HARBURG;101.640;55.747;1.732;1.040;136;156;31
03354  LUECHOW-DANNENBERG;18.099;10.912;742;94;17;29;3
03355  LUENEBURG;63.849;35.613;1.045;481;84;102;11
03356  OSTERHOLZ;46.728;21.915;1.123;199;45;72;11
03357  ROTENBURG(WUEMME);62.996;43.742;1.406;407;53;92;18
03358  HEIDEKREIS;53.009;30.820;1.201;204;60;59;15
03359  STADE;77.863;40.877;1.229;531;70;115;21
03360  UELZEN;36.220;18.219;554;196;57;34;11
03361  VERDEN;54.716;28.246;1.016;226;56;66;16
;661.038;364.104;13.367;4.164;698;875;186
03401  DELMENHORST,STADT;28.944;11.548;642;251;17;23;9
03402  EMDEN,STADT;16.223;7.343;410;54;24;15;6
03403  OLDENBURG(OLDENB),STADT;53.411;30.537;1.602;464;71;108;17
03404  OSNABRUECK,STADT;53.222;27.518;1.056;663;98;127;10
03405  WILHELMSHAVEN,STADT;27.815;10.675;680;137;13;9;11
03451  AMMERLAND;47.612;28.119;1.269;255;59;61;25
03452  AURICH;72.205;38.391;2.663;327;54;98;12
03453  CLOPPENBURG;49.106;45.143;1.615;178;42;63;15
03454  EMSLAND;102.639;85.655;3.569;459;115;110;9
03455  FRIESLAND;40.803;21.279;1.406;201;21;41;22
03456  GRAFSCHAFT BENTHEIM;41.075;37.258;2.518;253;34;55;12
03457  LEER;60.998;35.763;2.376;257;60;56;15
03458  OLDENBURG(OLDENBURG);49.316;29.580;1.485;278;33;94;19
03459  OSNABRUECK;141.486;77.317;2.870;778;117;188;30
03460  VECHTA;45.973;36.456;1.010;283;55;62;16
03461  WESERMARSCH;32.488;18.221;1.150;114;18;38;17
03462  WITTMUND;22.143;11.819;816;103;8;16;5
;885.459;552.622;27.137;5.055;839;1.164;250
;2.980.599;1.602.023;66.755;19.081;4.675;4.757;844
05111  DUESSELDORF, STADT;183.176;118.266;3.482;2.179;412;404;64
05112  DUISBURG,STADT;161.379;59.774;5.353;861;93;75;38
05113  ESSEN,STADT;201.491;77.238;4.662;1.394;332;234;52
05114  KREFELD,STADT;80.198;33.748;2.485;497;97;75;22
05116  MOENCHENGLADBACH,STADT;92.570;39.506;2.839;603;96;86;30
05117  MUELHEIM A.D.RUHR,STADT;66.136;24.104;1.328;461;78;80;10
05119  OBERHAUSEN,STADT;80.704;25.833;2.164;421;57;42;16
05120  REMSCHEID,STADT;42.210;17.080;794;290;41;38;17
05122  SOLINGEN,STADT;63.933;24.431;1.237;513;83;196;14
05124  WUPPERTAL,STADT;117.071;48.524;2.425;919;170;186;49
05154  KLEVE;109.043;70.188;7.085;670;119;109;31
05158  METTMANN;196.110;88.882;3.741;1.869;274;296;43
05162  NEUSS;179.722;81.811;4.029;1.514;200;233;57
05166  VIERSEN;120.893;57.092;5.268;584;89;115;41
05170  WESEL;188.922;82.141;7.597;1.073;158;169;42
;1.883.558;848.618;54.489;13.848;2.299;2.338;526
05314  BONN,STADT;99.680;72.256;1.566;1.072;225;165;25
05315  KOELN,STADT;308.304;161.866;5.378;3.888;586;750;146
05316  LEVERKUSEN,STADT;60.824;25.991;1.160;649;107;53;13
05334  AACHEN, STAEDTEREGION;187.577;91.873;6.057;1.367;221;381;44
05358  DUEREN;104.337;49.927;2.713;562;74;115;52
05362  RHEIN-ERFT-KREIS;186.603;81.221;3.535;1.346;165;194;97
05366  EUSKIRCHEN;80.782;43.736;2.093;468;54;101;31
05370  HEINSBERG;95.280;53.396;5.373;635;68;116;23
05374  OBERBERGISCHER KREIS;113.575;56.364;2.212;714;134;156;43
05378  RHEIN.-BERGISCHER KREIS;120.979;51.802;2.210;1.085;144;164;27
05382  RHEIN-SIEG-KREIS;239.402;109.993;5.290;2.099;243;307;76
;1.597.343;798.425;37.587;13.885;2.021;2.502;577
05512  BOTTROP,STADT;49.839;15.226;1.319;282;40;35;8
05513  GELSENKIRCHEN,STADT;88.383;28.879;2.437;538;78;64;9
05515  MUENSTER,STADT;88.939;51.462;1.975;693;193;196;30
05554  BORKEN;124.476;85.428;6.041;574;148;163;27
05558  COESFELD;83.512;48.354;2.519;734;88;109;16
05562  RECKLINGHAUSEN;249.347;88.095;6.270;1.601;184;199;61
05566  STEINFURT;163.458;94.765;4.343;948;136;208;29
