Statistische Kennziffer und Zulassungsbezirk;Benzin;Diesel;"Gas(einschl.bivalent)";"Hybrid insgesamt";"darunterPlug-in-Hybrid";Elektro (BEV);sonstige
;;;;;;;54
08111  STUTTGART,STADT;205.532;79.841;2.390;15.561;7.793;5.033;52
08115  BOEBLINGEN;166.492;75.236;1.427;11.411;5.257;3.648;68
08116  ESSLINGEN;226.834;96.036;1.931;8.379;2.567;2.871;29
08117  GOEPPINGEN;110.160;52.114;1.305;3.309;877;1.075;69
08118  LUDWIGSBURG;235.104;87.396;2.149;8.037;2.639;2.826;48
08119  REMS-MURR-KREIS;185.627;73.230;1.800;5.536;1.799;2.084;12
08121  HEILBRONN,STADT;45.626;20.556;483;1.590;509;423;44
08125  HEILBRONN;158.124;78.304;1.510;7.812;1.774;1.878;10
08126  HOHENLOHEKREIS;45.789;35.329;573;2.334;403;506;24
08127  SCHWAEBISCH-HALL;77.549;50.262;1.089;2.064;634;837;21
08128  MAIN-TAUBER-KREIS;53.963;33.638;655;1.792;403;425;12
08135  HEIDENHEIM;54.675;28.289;641;1.280;367;442;17
08136  OSTALBKREIS;129.334;72.062;1.278;3.800;1.162;1.150;460
;1.694.809;782.293;17.231;72.905;26.184;23.198;6
08211  BADEN-BADEN,STADT;22.184;11.915;148;950;268;356;40
08212  KARLSRUHE,STADT;90.295;45.183;1.200;3.819;1.212;1.412;51
08215  KARLSRUHE;188.579;86.254;1.906;5.199;1.407;2.086;25
08216  RASTATT;99.417;48.194;890;3.081;995;1.104;24
08221  HEIDELBERG,STADT;39.714;19.241;393;1.703;477;475;15
08222  MANNHEIM,STADT;100.235;48.095;919;4.346;1.434;968;16
08225  NECKAR-ODENWALD-KREIS;59.797;33.236;614;1.586;449;538;61
08226  RHEIN-NECKAR-KREIS;235.264;107.327;2.120;8.597;3.766;2.599;8
08231  PFORZHEIM,STADT;42.151;18.857;369;1.345;429;438;25
08235  CALW;66.549;36.796;764;1.858;500;1.032;30
08236  ENZKREIS;90.907;38.952;955;2.218;706;994;10
08237  FREUDENSTADT;46.737;29.184;471;1.435;355;472;311
;1.081.829;523.234;10.749;36.137;11.998;12.474;30
08311  FREIBURG I.BREISG.STADT;58.177;32.925;764;2.102;697;912;46
08315  BREISGAU-HOCHSCHWARZWALD;102.641;53.511;976;2.741;719;1.341;15
08316  EMMENDINGEN;67.477;32.298;652;1.641;444;1.235;42
08317  ORTENAUKREIS;177.042;91.870;1.432;3.959;1.247;1.930;15
08325  ROTTWEIL;58.503;34.040;521;1.584;482;485;35
08326  SCHWARZWALD-BAAR-KREIS;84.995;44.093;754;2.834;787;833;19
08327  TUTTLINGEN;55.419;31.779;445;1.897;605;543;31
08335  KONSTANZ;110.060;47.172;1.260;3.350;855;1.310;33
08336  LOERRACH;92.944;40.735;463;2.869;657;1.129;29
