GENESIS-Tabelle: 14338-01-03-4
Landtagswahlen: Baden-Württemberg - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Baden-Württemberg;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
13.03.2016;08;Baden-Württemberg, Land;7683464;70,4;5361250;1447462;679727;1623107;445498;156240;809564;199652
13.03.2016;081;  Stuttgart, Regierungsbezirk;2800541;71,9;1995861;525399;267966;590131;177578;56208;305676;72903
13.03.2016;08111;    Stuttgart, Landeshauptstadt, Stadtkreis;373434;72,8;270268;59978;32046;98383;25529;14241;29912;10179
13.03.2016;08115;    Böblingen, Landkreis;258728;73,1;187744;51692;23514;55959;17244;4330;29396;5609
13.03.2016;08116;    Esslingen, Landkreis;363343;74,3;267830;69355;36370;87268;21698;6050;36592;10497
13.03.2016;08117;    Göppingen, Landkreis;178128;70,5;124169;32021;18702;35181;9853;2429;20838;5145
13.03.2016;08118;    Ludwigsburg, Landkreis;363069;73,9;266171;67324;33300;87466;24088;6503;39173;8317
13.03.2016;08119;    Rems-Murr-Kreis, Landkreis;295318;73,5;215290;57158;30152;55637;23152;5039;35483;8669
13.03.2016;08121;    Heilbronn, , Universitätsstadt, Stadtkreis;77576;63,4;48572;10586;7497;12913;4842;1642;9230;1862
13.03.2016;08125;    Heilbronn, Landkreis;239673;71,6;169713;44218;26110;42957;15338;3770;31022;6298
13.03.2016;08126;    Hohenlohekreis, Landkreis;82218;69,7;56634;15915;6537;15448;5402;1394;9803;2135
13.03.2016;08127;    Schwäbisch Hall, Landkreis;142493;67,9;95638;22571;13079;26150;10858;2250;16805;3925
