GENESIS-Tabelle: 14341-01-03-4
Landtagswahlen: Berlin - Wahlberechtigte und -beteiligung,;;;;;;;;;;;;
Gültige Stimmen nach Parteien - Wahl-/Stichtag -;;;;;;;;;;;;
Wahl des Abgeordnetenhauses: Berlin;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
18.09.2016;11;Berlin;2485379;66,9;1635169;287997;352430;248324;109500;255701;231492;149725
18.09.2016;11001001;    Berlin-Mitte;204769;62,6;126106;17076;27172;26901;8333;22154;12480;11990
18.09.2016;11002002;    Berlin-Friedrichshain-Kreuzberg;170908;68,5;115605;9053;21087;32778;4517;27016;7396;13758
18.09.2016;11003003;    Berlin-Pankow;285240;69,9;196521;24719;39583;35145;8667;42196;27152;19059
18.09.2016;11004004;    Berlin-Charlottenburg-Wilmersdorf;217586;70,0;150208;30545;34318;27822;18454;13922;15431;9716
18.09.2016;11005005;    Berlin-Spandau;162760;63,5;101145;24835;27740;8779;7703;6726;16748;8614
18.09.2016;11006006;    Berlin-Steglitz-Zehlendorf;218473;74,5;160803;41065;34737;26976;19051;11152;17677;10145
18.09.2016;11007007;    Berlin-Tempelhof-Schöneberg;233874;68,9;158582;31622;39427;29615;12465;15348;18097;12008
18.09.2016;11008008;    Berlin-Neukölln;202453;63,2;125446;22356;29243;20308;7209;17017;17294;12019
18.09.2016;11009009;    Berlin-Treptow-Köpenick;202428;68,1;135575;17502;27720;12278;5494;30667;27736;14178
18.09.2016;11010010;    Berlin-Marzahn-Hellersdorf;200519;60,9;119889;20761;20329;5346;3411;28216;28310;13516
18.09.2016;11011011;    Berlin-Lichtenberg;204711;62,9;126377;15223;24950;9749;3694;34041;24002;14718
18.09.2016;11012012;    Berlin-Reinickendorf;181658;66,8;118912;33240;26124;12627;10502;7246;19169;10004
__________
"Zu  gesamte Tabelle
Berlin (1995, 1999): bezogen auf den Gebietsstand 01.01.2001
 
Zu  Gültige Stimmen
Berlin, Brandenburg, Mecklenburg-Vorpommern, Niedersachsen:
Zweitstimmen.
 
Zu  Von den gültigen Stimmen entfielen
Berlin, Brandenburg, Mecklenburg-Vorpommern, Niedersachsen:
Zweitstimmen."
"© Statistische Ämter des Bundes und der Länder, Deutschland, 2021.
Dieses Werk ist lizenziert unter der Datenlizenz Deutschland
- Namensnennung - Version 2.0."
Stand: 06.06.2021 / 21:28:15
