GENESIS-Tabelle: 14334-01-03-4
Landtagswahlen: Bremen - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Bürgerschaftswahl: Bremen;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
26.05.2019;04;Bremen;475482;64,1;1469506;391709;366375;256181;87420;166378;89939;111504
26.05.2019;04011;    Bremen, kreisfreie Stadt;394110;66,4;1266007;344715;315518;222362;75685;149111;71473;87143
26.05.2019;04012;    Bremerhaven, kreisfreie Stadt;81372;52,5;203499;46994;50857;33819;11735;17267;18466;24361
__________
"zu ""gesamte Tabelle"":
Da aufgrund einer Wahlrechtänderung die Wählerinnen und
Wähler ab der Bürgerschaftswahl 2011 in Hamburg und Bremen
bis zu 5 Stimmen vergeben konnten, ist ein Vergleich mit den
vorangegangenen Wahlen nicht sinnvoll.
 
 
zu ""CDU/CSU"":
CSU nur in Bayern"
"© Statistische Ämter des Bundes und der Länder, Deutschland, 2021.
Dieses Werk ist lizenziert unter der Datenlizenz Deutschland
- Namensnennung - Version 2.0."
Stand: 06.06.2021 / 21:23:00
