GENESIS-Tabelle: 14343-01-03-4
Landtagswahlen: Mecklenburg-Vorpommern - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Mecklenburg-Vorpommern;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
04.09.2016;13;Mecklenburg-Vorpommern;1328320;61,9;806419;153115;246395;38836;24521;106256;167852;69444
04.09.2016;13001;    Kreisfreie Stadt Greifswald, Hansestadt;-;-;-;-;-;-;-;-;-;-
04.09.2016;13002;    Kreisfreie Stadt Neubrandenburg, Stadt;-;-;-;-;-;-;-;-;-;-
04.09.2016;13003;    Kreisfreie Stadt Rostock, Hansestadt;168495;63,2;105125;16191;34315;8457;3222;17434;17689;7817
04.09.2016;13004;    Kreisfreie Stadt Schwerin, Landeshauptstadt;76935;65,2;49030;8638;17224;3161;1531;6976;7807;3693
04.09.2016;13005;    Kreisfreie Stadt Stralsund, Hansestadt;-;-;-;-;-;-;-;-;-;-
04.09.2016;13006;    Kreisfreie Stadt Wismar, Hansestadt;-;-;-;-;-;-;-;-;-;-
04.09.2016;13051;    Landkreis Bad Doberan;-;-;-;-;-;-;-;-;-;-
04.09.2016;13052;    Landkreis Demmin;-;-;-;-;-;-;-;-;-;-
04.09.2016;13053;    Landkreis Güstrow;-;-;-;-;-;-;-;-;-;-
04.09.2016;13054;    Landkreis Ludwigslust;-;-;-;-;-;-;-;-;-;-
04.09.2016;13055;    Landkreis Mecklenburg-Strelitz;-;-;-;-;-;-;-;-;-;-
04.09.2016;13056;    Landkreis Müritz;-;-;-;-;-;-;-;-;-;-
04.09.2016;13057;    Landkreis Nordvorpommern;-;-;-;-;-;-;-;-;-;-
04.09.2016;13058;    Landkreis Nordwestmecklenburg;-;-;-;-;-;-;-;-;-;-
04.09.2016;13059;    Landkreis Ostvorpommern;-;-;-;-;-;-;-;-;-;-
04.09.2016;13060;    Landkreis Parchim;-;-;-;-;-;-;-;-;-;-
04.09.2016;13061;    Landkreis Rügen;-;-;-;-;-;-;-;-;-;-
04.09.2016;13062;    Landkreis Uecker-Randow;-;-;-;-;-;-;-;-;-;-
04.09.2016;13071;    Landkreis Mecklenburgische Seenplatte;219620;60,0;129114;25726;37212;4891;3306;18273;28594;11112
04.09.2016;13072;    Landkreis Rostock;176551;64,1;111044;23016;36315;4623;3272;12931;22688;8199
04.09.2016;13073;    Landkreis Vorpommern-Rügen;187722;59,1;108793;24475;28510;4937;3403;13162;25219;9087
04.09.2016;13074;    Landkreis Nordwestmecklenburg;128326;60,9;76992;13084;27692;3741;2430;9416;14796;5833
04.09.2016;13075;    Landkreis Vorpommern-Greifswald;195838;61,4;117712;21983;27934;5427;3704;15128;30625;12911
04.09.2016;13076;    Landkreis Ludwigslust-Parchim;174833;63,3;108609;20002;37193;3599;3653;12936;20434;10792
__________
"zu ""gesamte Tabelle"":
Mecklenburg-Vorpommern (1998): Briefwahlergebnisse der
kreisfreien Stadt Stralsund teilweise im Kreis
Nordvorpommern, des Landkreises Müritz teilweise im
Landkreis Mecklenburg-Strelitz enthalten.
 
zu ""Gültige Stimmen"":
Mecklenburg-Vorpommern: Zweitstimmen
 
zu ""Gültigen Stimmen nach Parteien"":
Mecklenburg-Vorpommern: Zweitstimmen
 
zu ""CDU/CSU"":
CSU nur in Bayern"
"© Statistische Ämter des Bundes und der Länder, Deutschland, 2021.
Dieses Werk ist lizenziert unter der Datenlizenz Deutschland
- Namensnennung - Version 2.0."
Stand: 06.06.2021 / 21:29:48
