GENESIS-Tabelle: 14335-01-03-4
Landtagswahlen: Nordrhein-Westfalen - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Nordrhein-Westfalen;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
14.05.2017;05;Nordrhein-Westfalen;13164887;65,2;8487413;2796683;2649205;539062;1065307;415936;626756;394464
14.05.2017;051;  Düsseldorf, Regierungsbezirk;3736296;64,7;2389631;757484;739110;140424;326882;119060;190554;116117
14.05.2017;05111;    Düsseldorf, kreisfreie Stadt;412309;67,7;276764;85445;73587;22458;48246;17041;17519;12468
14.05.2017;05112;    Duisburg, kreisfreie Stadt;328549;58,4;189133;44140;71249;9344;17824;11356;21927;13293
14.05.2017;05113;    Essen, kreisfreie Stadt;419870;63,8;265302;73484;88498;16513;31588;14899;26051;14269
14.05.2017;05114;    Krefeld, kreisfreie Stadt;163365;60,4;97444;30760;30293;5993;14406;4879;6405;4708
14.05.2017;05116;    Mönchengladbach, kreisfreie Stadt;190503;59,4;111868;40002;30857;6020;15186;5719;8492;5592
14.05.2017;05117;    Mülheim an der Ruhr, kreisfreie Stadt;124241;69,2;84939;23164;29768;5256;11591;4143;7323;3694
14.05.2017;05119;    Oberhausen, kreisfreie Stadt;152582;62,4;93963;24813;36270;3918;8065;5298;10307;5292
14.05.2017;05120;    Remscheid, kreisfreie Stadt;77296;61,4;46836;14796;14715;2478;5949;2385;4019;2494
14.05.2017;05122;    Solingen, kreisfreie Stadt;112676;62,5;69641;21580;20781;4392;9696;3942;5602;3648
14.05.2017;05124;    Wuppertal, kreisfreie Stadt;241397;62,0;147842;39578;47621;11444;18799;10179;12586;7635
