GENESIS-Tabelle: 14337-01-03-4
Landtagswahlen: Rheinland-Pfalz - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Rheinland.Pfalz;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
13.03.2016;07;Rheinland-Pfalz;3071972;70,4;2130621;677507;771848;113261;132294;59970;268628;107113
13.03.2016;071;  Koblenz, Stat. Region;1154516;69,0;785790;278034;277325;36361;49677;20946;89191;34256
13.03.2016;07111;    Koblenz, kreisfreie Stadt;84900;67,5;56701;18353;19881;4186;3941;2246;5336;2758
13.03.2016;07131;    Ahrweiler, Landkreis;100264;68,3;67657;27675;19752;4032;4689;1628;6911;2970
13.03.2016;07132;    Altenkirchen (Westerwald), Landkreis;100688;66,1;65636;23267;22113;2806;3980;1809;8910;2751
13.03.2016;07133;    Bad Kreuznach, Landkreis;120403;71,8;85326;28230;33152;3689;5092;2158;9704;3301
13.03.2016;07134;    Birkenfeld, Landkreis;65000;66,5;42521;13355;16673;1514;2604;1246;5430;1699
13.03.2016;07135;    Cochem-Zell, Landkreis;49138;71,1;34440;14996;10806;1208;2429;735;3255;1011
13.03.2016;07137;    Mayen-Koblenz, Landkreis;166249;68,8;112945;41843;39574;5088;6839;2808;12046;4747
13.03.2016;07138;    Neuwied, Landkreis;137667;66,7;90598;31303;32038;4362;5411;2482;11041;3961
13.03.2016;07140;    Rhein-Hunsrück-Kreis;80849;72,0;57403;20500;21237;2031;4065;1460;5955;2155
13.03.2016;07141;    Rhein-Lahn-Kreis;95786;69,9;66045;19611;26522;2864;3753;1627;7574;4094
13.03.2016;07143;    Westerwaldkreis;153572;70,3;106518;38901;35577;4581;6874;2747;13029;4809
