GENESIS-Tabelle: 14340-01-03-4
Landtagswahlen: Saarland - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Saarland;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
26.03.2017;10;Saarland;774951;69,7;533783;217263;158057;21392;17419;68566;32971;18115
26.03.2017;10041;    Saarbrücken, Regionalverband;245597;67,1;162874;59522;46751;8455;6582;25351;10327;5886
26.03.2017;10041100;    Saarbrücken, Landeshauptstadt;127531;64,9;81837;27200;22919;5975;3751;13953;5019;3020
26.03.2017;10042;    Merzig-Wadern, Landkreis;79514;71,6;56290;23829;18361;1782;1674;5987;3012;1645
26.03.2017;10043;    Neunkirchen, Landkreis;106784;67,0;70663;27219;23181;2124;1879;8952;4710;2598
26.03.2017;10044;    Saarlouis, Landkreis;155104;70,4;107886;45003;31446;4073;3443;14157;6392;3372
26.03.2017;10045;    Saarpfalz-Kreis;114901;71,5;81210;33408;23141;3643;2756;9216;5951;3095
26.03.2017;10046;    St. Wendel, Landkreis;73051;76,0;54860;28282;15177;1315;1085;4903;2579;1519
__________
"zu ""CDU/CSU"":
CSU nur in Bayern"
"© Statistische Ämter des Bundes und der Länder, Deutschland, 2021.
Dieses Werk ist lizenziert unter der Datenlizenz Deutschland
- Namensnennung - Version 2.0."
Stand: 06.06.2021 / 21:27:12
