GENESIS-Tabelle: 14345-01-03-4
Landtagswahlen: Sachsen-Anhalt - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Sachsen-Anhalt;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
13.03.2016;15;Sachsen-Anhalt;1877649;61,1;1122877;334139;119368;58209;54565;183290;272496;100810
13.03.2016;15001;    Dessau-Roßlau, kreisfreie Stadt;69635;63,3;43256;12412;4412;2978;2613;7570;9620;3651
13.03.2016;15002;    Halle (Saale), kreisfreie Stadt;188192;63,7;117714;28922;13604;12558;7444;22331;22987;9868
13.03.2016;15003;    Magdeburg, kreisfreie Stadt;192105;62,7;118511;35071;14144;9591;5684;20598;21278;12145
13.03.2016;15081;    Altmarkkreis Salzwedel;71528;59,3;41515;13216;5426;2297;1722;6895;9079;2880
13.03.2016;15082;    Anhalt-Bitterfeld, Landkreis;140206;60,5;82940;24034;7877;2901;3529;13022;22742;8835
13.03.2016;15083;    Börde, Landkreis;144999;61,3;86787;28643;9713;3354;3929;12739;20748;7661
13.03.2016;15084;    Burgenlandkreis;154005;60,6;91069;25791;9253;3259;4001;13857;26811;8097
13.03.2016;15085;    Harz, Landkreis;187458;59,4;108843;35552;12265;5387;4394;16822;26050;8373
13.03.2016;15086;    Jerichower Land, Landkreis;77666;62,4;47410;14694;4996;1925;2261;7679;10560;5295
13.03.2016;15087;    Mansfeld-Südharz, Landkreis;120753;59,7;70471;18870;6773;2182;2896;12560;20264;6926
13.03.2016;15088;    Saalekreis;157863;62,6;96784;28014;9061;3846;5613;14994;27110;8146
13.03.2016;15089;    Salzlandkreis;167136;57,5;93726;28076;9321;3312;5269;15020;24893;7835
13.03.2016;15090;    Stendal, Landkreis;96259;59,2;55614;17930;6220;2155;2392;9299;13866;3752
13.03.2016;15091;    Wittenberg, Landkreis;109844;63,4;68237;22914;6303;2464;2818;9904;16488;7346
13.03.2016;151;  Dessau, Stat. Region;-;-;-;-;-;-;-;-;-;-
13.03.2016;15101;    Dessau, kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
13.03.2016;15151;    Anhalt-Zerbst, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15153;    Bernburg, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15154;    Bitterfeld, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15159;    Köthen, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15171;    Wittenberg, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;152;  Halle, Stat. Region;-;-;-;-;-;-;-;-;-;-
13.03.2016;15202;    Halle (Saale), kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
13.03.2016;15256;    Burgenlandkreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15260;    Mansfelder Land, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15261;    Merseburg-Querfurt, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15265;    Saalkreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15266;    Sangerhausen, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15268;    Weißenfels, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;153;  Magdeburg, Stat. Region;-;-;-;-;-;-;-;-;-;-
13.03.2016;15303;    Magdeburg, kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
13.03.2016;15352;    Aschersleben-Staßfurt, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15355;    Bördekreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15357;    Halberstadt, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15358;    Jerichower Land, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15362;    Ohrekreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15363;    Stendal, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15364;    Quedlinburg, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15367;    Schönebeck, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15369;    Wernigerode, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15370;    Altmarkkreis Salzwedel, Kreis;-;-;-;-;-;-;-;-;-;-
__________
"zu ""Gültige Stimmen"":
(bis 2006): Parteienstimmen
(ab 2011): Zweitstimmen
 
zu ""Gültigen Stimmen nach Parteien"":
(bis 2006): Parteienstimmen
(ab 2011): Zweitstimmen
 
zu ""CDU/CSU"":
CSU nur in Bayern"
"© Statistische Ämter des Bundes und der Länder, Deutschland, 2021.
Dieses Werk ist lizenziert unter der Datenlizenz Deutschland
- Namensnennung - Version 2.0."
Stand: 06.06.2021 / 21:32:24
